endTime,artistName,trackName,msPlayed,source,podcastName,episodeName,minutesPlayed
2024-08-15 20:29,Justin Bieber,Heartbreaker,262840,music,,,4.38
2024-08-15 20:32,Victoria Monét,On My Mama,186678,music,,,3.11
2024-08-15 20:36,Chris Brown,Little More (Royalty),260453,music,,,4.34
2024-08-15 20:40,Ne-Yo,Miss Independent,232000,music,,,3.87
2024-08-15 20:43,ENNY,Peng Black Girls Remix (feat. Jorja Smith),206000,music,,,3.43
2024-08-16 06:38,Tinashe,2 On (feat. ScHoolboy Q),129664,music,,,2.16
2024-08-16 06:53,Billie Eilish,CHIHIRO,303440,music,,,5.06
2024-08-16 06:57,Tinashe,2 On (feat. ScHoolboy Q),227000,music,,,3.78
2024-08-16 07:01,PARTYNEXTDOOR,N o C h i l l,265373,music,,,4.42
2024-08-16 07:05,SZA,Open Arms (feat. Travis Scott),239613,music,,,3.99
2024-08-16 07:09,Kendrick Lamar,"All The Stars (with SZA) - From ""Black Panther: The Album""",232186,music,,,3.87
2024-08-16 07:13,Rihanna,Loveeeeeee Song,256320,music,,,4.27
2024-08-16 07:16,Elley Duhé,MIDDLE OF THE NIGHT,184447,music,,,3.07
2024-08-16 07:19,Olivia Rodrigo,traitor,229226,music,,,3.82
2024-08-16 07:23,Kendrick Lamar,LOVE.,214053,music,,,3.57
2024-08-16 07:29,Aqyila,Hello,195004,music,,,3.25
2024-08-16 07:32,GIVĒON,Lost Me,180953,music,,,3.02
2024-08-16 07:34,Halle,In Your Hands,171544,music,,,2.86
2024-08-16 07:37,The Kid LAROI,WITHOUT YOU (with Miley Cyrus),161384,music,,,2.69
2024-08-16 07:42,Ayra Starr,Jazzy's Song,1109,music,,,0.02
2024-08-16 07:42,Gyakie,December,817,music,,,0.01
2024-08-16 07:42,kirkiimad,ily,56638,music,,,0.94
2024-08-16 07:42,Rema,Charm,6854,music,,,0.11
2024-08-16 07:42,Ice Prince,KOLO (feat. Oxlade),3679,music,,,0.06
2024-08-16 07:42,ODUMODUBLVCK,WOTOWOTO SEASONING (feat. Black Sherif),1051,music,,,0.02
2024-08-16 07:42,Victony,Jolene,1051,music,,,0.02
2024-08-16 07:43,FAVE,M.O.M.M.S,894,music,,,0.01
2024-08-16 07:43,Ice Spice,Pretty Girl (with Rema),1092,music,,,0.02
2024-08-16 07:46,Kwesi Arthur,Nobody,213360,music,,,3.56
2024-08-16 07:48,Gyakie,Rent Free,136842,music,,,2.28
2024-08-16 07:51,Rema,BENIN BOYS,1455,music,,,0.02
2024-08-16 07:51,JayO,22,16073,music,,,0.27
